,名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL
16174,ピュアフィールド白鳥,賃貸マンション,東京都葛飾区白鳥４,京成本線/お花茶屋駅 歩15分,築33年,8階建,6階,9.5万円,7000円,9.5万円,-,3DK,57.66m2,https://suumo.jp/chintai/jnc_000075101591/?bc=100286904851
16175,ピュアフィールド白鳥,賃貸マンション,東京都葛飾区白鳥４,京成本線/お花茶屋駅 歩15分,築33年,8階建,3階,9.5万円,7000円,9.5万円,-,2LDK,52.08m2,https://suumo.jp/chintai/jnc_000077740685/?bc=100302289888
16180,ＪＲ総武線 平井駅 3階建 築20年,賃貸マンション,東京都江戸川区平井６,ＪＲ総武線/平井駅 歩4分,築20年,3階建,3階,20.8万円,6500円,20.8万円,20.8万円,2LDK,78.84m2,https://suumo.jp/chintai/jnc_000073208350/?bc=100308928102
16181,ＪＲ総武線 平井駅 3階建 築20年,賃貸マンション,東京都江戸川区平井６,ＪＲ総武線/平井駅 歩4分,築20年,3階建,2階,21万円,6500円,21万円,21万円,2LDK,78.84m2,https://suumo.jp/chintai/jnc_000073548601/?bc=100299300953
16186,シントミプラザ綾瀬,賃貸マンション,東京都葛飾区東堀切３,京成本線/お花茶屋駅 歩14分,築35年,3階建,3階,6.64万円,6000円,-,-,3DK,52.2m2,https://suumo.jp/chintai/jnc_000077250841/?bc=100275229112
16187,シントミプラザ綾瀬,賃貸マンション,東京都葛飾区東堀切３,京成本線/お花茶屋駅 歩14分,築35年,3階建,3階,8.3万円,6000円,-,-,3DK,52.2m2,https://suumo.jp/chintai/jnc_000075833056/?bc=100302046862
16192,シャングリラ弐番館,賃貸マンション,東京都練馬区上石神井１,西武新宿線/上石神井駅 歩6分,築29年,3階建,2階,11.5万円,5000円,11.5万円,-,3DK,57.34m2,https://suumo.jp/chintai/jnc_000077890407/?bc=100303183563
16195,柿の木坂イースト,賃貸マンション,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩6分,築17年,地下1地上3階建,B1-1階,17.5万円,10000円,17.5万円,17.5万円,1LDK,53.32m2,https://suumo.jp/chintai/jnc_000013396691/?bc=100292617886
16198,東急東横線 都立大学駅 3階建 築17年,賃貸マンション,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩6分,築17年,3階建,1階,17.5万円,10000円,17.5万円,17.5万円,1LDK,53.32m2,https://suumo.jp/chintai/jnc_000013396692/?bc=100306336131
16200,日商岩井綾瀬マンション,賃貸マンション,東京都足立区青井３,つくばエクスプレス/青井駅 歩4分,築49年,10階建,6階,8.8万円,2000円,8.8万円,8.8万円,3DK,56.02m2,https://suumo.jp/chintai/jnc_000079057274/?bc=100305780966
16201,日商岩井綾瀬マンション,賃貸マンション,東京都足立区青井３,つくばエクスプレス/青井駅 歩4分,築49年,10階建,6階,9.4万円,5000円,9.4万円,9.4万円,3DK,56.02m2,https://suumo.jp/chintai/jnc_000078644771/?bc=100285696833
16206,Naolife D棟,賃貸一戸建て,東京都足立区西新井１,東武大師線/大師前駅 歩2分,築25年,3階建,1階,16.5万円,-,16.5万円,16.5万円,2LDK,101.4m2,https://suumo.jp/chintai/jnc_000076565239/?bc=100301668325
16207,Naolife D棟,賃貸一戸建て,東京都足立区西新井１,東武大師線/大師前駅 歩2分,築25年,3階建,1-3階,16.5万円,-,16.5万円,16.5万円,2LDK,101.4m2,https://suumo.jp/chintai/jnc_000077549633/?bc=100301190537
16212,東京メトロ千代田線 綾瀬駅 7階建 築33年,賃貸マンション,東京都足立区綾瀬２,東京メトロ千代田線/綾瀬駅 歩1分,築33年,7階建,6階,11.5万円,5000円,11.5万円,11.5万円,2LDK,55.78m2,https://suumo.jp/chintai/jnc_000078633577/?bc=100306747101
16215,関村ビル,賃貸マンション,東京都板橋区徳丸３,東武東上線/東武練馬駅 歩5分,築45年,3階建,3階,12万円,-,12万円,-,3LDK,77.68m2,https://suumo.jp/chintai/jnc_000078168212/?bc=100309104629
16218,ＪＲ埼京線 赤羽駅 12階建 築34年,賃貸マンション,東京都北区浮間３,ＪＲ埼京線/赤羽駅 歩32分,築34年,12階建,11階,11.4万円,10000円,11.4万円,-,2LDK,52.77m2,https://suumo.jp/chintai/jnc_000076666968/?bc=100308168497
16221,フォレンツタワー文京千石,賃貸マンション,東京都文京区千石３,都営三田線/千石駅 歩5分,築14年,14階建,4階,18.8万円,11000円,9.4万円,37.6万円,2DK,56.74m2,https://suumo.jp/chintai/jnc_000078669352/?bc=100276561644
16224,都営三田線 千石駅 14階建 築14年,賃貸マンション,東京都文京区千石３,都営三田線/千石駅 歩5分,築14年,14階建,4階,18.8万円,11000円,9.4万円,37.6万円,2DK,56.74m2,https://suumo.jp/chintai/jnc_000078675073/?bc=100308939826
16227,佐藤ビル,賃貸マンション,東京都板橋区前野町５,都営三田線/志村三丁目駅 歩11分,築33年,3階建,1階,14.8万円,-,14.8万円,14.8万円,3SLDK,98.05m2,https://suumo.jp/chintai/jnc_000052195989/?bc=100308195098
16230,ヴィラ・グレース,賃貸アパート,東京都練馬区豊玉中３,都営大江戸線/練馬駅 歩9分,築29年,2階建,2階,11.3万円,2000円,11.3万円,11.3万円,1SK,70.79m2,https://suumo.jp/chintai/jnc_000077489899/?bc=100300832042
16231,ヴィラ・グレース,賃貸アパート,東京都練馬区豊玉中３,都営大江戸線/練馬駅 歩9分,築29年,2階建,2階,11.3万円,2000円,11.3万円,11.3万円,1SDK,70m2,https://suumo.jp/chintai/jnc_000077568739/?bc=100301311551
16236,日暮里・舎人ライナー 谷在家駅 7階建 築32年,賃貸マンション,東京都足立区西新井４,日暮里・舎人ライナー/谷在家駅 歩12分,築32年,7階建,7階,8万円,5000円,8万円,12万円,2LDK,51.81m2,https://suumo.jp/chintai/jnc_000028233981/?bc=100306364923
16237,日暮里・舎人ライナー 谷在家駅 7階建 築32年,賃貸マンション,東京都足立区西新井４,日暮里・舎人ライナー/谷在家駅 歩12分,築32年,7階建,7階,8万円,10000円,8万円,12万円,2LDK,51.81m2,https://suumo.jp/chintai/jnc_000079057300/?bc=100306864990
16242,内外田端ビル,賃貸マンション,東京都荒川区東尾久４,ＪＲ山手線/田端駅 歩12分,築53年,5階建,5階,10.5万円,7000円,10.5万円,10.5万円,2DK,54.28m2,https://suumo.jp/chintai/jnc_000077447532/?bc=100294934557
16245,東京メトロ有楽町線 氷川台駅 2階建 築30年,賃貸アパート,東京都練馬区桜台６,東京メトロ有楽町線/氷川台駅 歩8分,築30年,2階建,2階,10.3万円,2000円,20.6万円,-,3DK,50.01m2,https://suumo.jp/chintai/jnc_000059926894/?bc=100309375654
16248,ザ・晴海レジデンス,賃貸マンション,東京都中央区晴海５,都営大江戸線/勝どき駅 歩10分,築14年,20階建,9階,18万円,10000円,18万円,18万円,1LDK,57.51m2,https://suumo.jp/chintai/jnc_000077121017/?bc=100298819270
16249,ザ・晴海レジデンス,賃貸マンション,東京都中央区晴海５,都営大江戸線/勝どき駅 歩10分,築14年,20階建,15-16階,22万円,20000円,44万円,22万円,2LDK,79.2m2,https://suumo.jp/chintai/jnc_000028647257/?bc=100302544055
16254,ロイヤルアヤセ,賃貸マンション,東京都足立区綾瀬２,東京メトロ千代田線/綾瀬駅 歩1分,築33年,7階建,6階,11.5万円,5000円,11.5万円,11.5万円,2LDK,55.78m2,https://suumo.jp/chintai/jnc_000078614027/?bc=100306734198
16257,西武池袋線 富士見台駅 地下1地上7階建 築27年,賃貸マンション,東京都中野区上鷺宮４,西武池袋線/富士見台駅 歩3分,築27年,地下1地上7階建,7階,14.8万円,12000円,14.8万円,14.8万円,2SLDK,61.04m2,https://suumo.jp/chintai/jnc_000079037796/?bc=100309213260
16260,アリビオ両国,賃貸マンション,東京都墨田区石原１,都営大江戸線/両国駅 歩7分,築9年,6階建,3階,18万円,10000円,18万円,18万円,1LDK,50.31m2,https://suumo.jp/chintai/jnc_000079063284/?bc=100309367645
16263,パークアクシス豊洲,賃貸マンション,東京都江東区豊洲１,東京メトロ有楽町線/豊洲駅 歩8分,築15年,地下1地上20階建,15階,21.1万円,6000円,21.1万円,21.1万円,1LDK,53.13m2,https://suumo.jp/chintai/jnc_000078763034/?bc=100307571024
16264,パークアクシス豊洲,賃貸マンション,東京都江東区豊洲１,東京メトロ有楽町線/豊洲駅 歩8分,築15年,地下1地上20階建,17階,23.6万円,7000円,23.6万円,23.6万円,2LDK,58.21m2,https://suumo.jp/chintai/jnc_000078708656/?bc=100307286865
16265,パークアクシス豊洲,賃貸マンション,東京都江東区豊洲１,東京メトロ有楽町線/豊洲駅 歩8分,築15年,地下1地上20階建,16階,24.3万円,7000円,24.3万円,24.3万円,2LDK,58.21m2,https://suumo.jp/chintai/jnc_000078705074/?bc=100307532395
16272,パール仲町マンション,賃貸マンション,東京都足立区千住仲町,東京メトロ千代田線/北千住駅 歩7分,築45年,5階建,4階,14.5万円,3000円,29万円,-,2LDK,63.69m2,https://suumo.jp/chintai/jnc_000075113529/?bc=100287297023
16275,京王線 桜上水駅 3階建 築31年,賃貸テラス・タウンハウス,東京都世田谷区上北沢３,京王線/桜上水駅 歩6分,築31年,3階建,1-3階,19.8万円,-,39.6万円,19.8万円,5LDK,137.88m2,https://suumo.jp/chintai/jnc_000078820963/?bc=100307902028
16278,ディームス東陽町,賃貸マンション,東京都江東区東陽５,東京メトロ東西線/東陽町駅 歩7分,築4年,10階建,6階,23.4万円,15000円,23.4万円,23.4万円,2LDK,54.64m2,https://suumo.jp/chintai/jnc_000078708655/?bc=100277844364
16279,ディームス東陽町,賃貸マンション,東京都江東区東陽５,東京メトロ東西線/東陽町駅 歩7分,築4年,10階建,7階,23.5万円,15000円,23.5万円,23.5万円,2LDK,54.64m2,https://suumo.jp/chintai/jnc_000078756598/?bc=100307590474
16284,東武東上線 上板橋駅 4階建 築33年,賃貸マンション,東京都板橋区上板橋３,東武東上線/上板橋駅 歩7分,築33年,4階建,4階,12万円,5000円,12万円,-,2LDK,54.83m2,https://suumo.jp/chintai/jnc_000013498478/?bc=100301918965
16285,東武東上線 上板橋駅 4階建 築33年,賃貸マンション,東京都板橋区上板橋３,東武東上線/上板橋駅 歩7分,築33年,4階建,4階,13.5万円,5000円,-,-,2LDK,54.83m2,https://suumo.jp/chintai/jnc_000079120983/?bc=100304556926
16290,ルーチェヴィラ菊川,賃貸マンション,東京都墨田区立川３,都営新宿線/菊川駅 歩4分,新築,7階建,4階,22.5万円,15000円,22.5万円,22.5万円,2LDK,60.86m2,https://suumo.jp/chintai/jnc_000074910305/?bc=100304071819
16291,ルーチェヴィラ菊川,賃貸マンション,東京都墨田区立川３,都営新宿線/菊川駅 歩4分,新築,7階建,5-6階,22.5万円,15000円,22.5万円,-,2LDK,59.24m2,https://suumo.jp/chintai/jnc_000075004481/?bc=100286990319
16292,ルーチェヴィラ菊川,賃貸マンション,東京都墨田区立川３,都営新宿線/菊川駅 歩4分,新築,7階建,5-6階,22.5万円,15000円,22.5万円,-,2LDK,59.24m2,https://suumo.jp/chintai/jnc_000075004482/?bc=100287041140
16293,ルーチェヴィラ菊川,賃貸マンション,東京都墨田区立川３,都営新宿線/菊川駅 歩4分,新築,7階建,5階,22.5万円,15000円,22.5万円,22.5万円,2LDK,59.24m2,https://suumo.jp/chintai/jnc_000074928172/?bc=100289376456
16294,ルーチェヴィラ菊川,賃貸マンション,東京都墨田区立川３,都営新宿線/菊川駅 歩4分,新築,7階建,4階,22.7万円,15000円,22.7万円,-,2LDK,60.46m2,https://suumo.jp/chintai/jnc_000074928170/?bc=100286986808
16305,都営新宿線 菊川駅 7階建 新築,賃貸マンション,東京都墨田区立川３,都営新宿線/菊川駅 歩5分,新築,7階建,5-6階,22.5万円,15000円,22.5万円,-,2LDK,59.24m2,https://suumo.jp/chintai/jnc_000074904494/?bc=100287209705
16306,都営新宿線 菊川駅 7階建 新築,賃貸マンション,東京都墨田区立川３,都営新宿線/菊川駅 歩5分,新築,7階建,5-6階,22.5万円,15000円,45万円,22.5万円,2LDK,59.24m2,https://suumo.jp/chintai/jnc_000073745750/?bc=100279894316
16307,都営新宿線 菊川駅 7階建 新築,賃貸マンション,東京都墨田区立川３,都営新宿線/菊川駅 歩5分,新築,7階建,5-6階,22.5万円,15000円,22.5万円,22.5万円,2LDK,59.24m2,https://suumo.jp/chintai/jnc_000074904493/?bc=100301624224
16308,都営新宿線 菊川駅 7階建 新築,賃貸マンション,東京都墨田区立川３,都営新宿線/菊川駅 歩5分,新築,7階建,4階,22.7万円,15000円,22.7万円,-,2LDK,60.46m2,https://suumo.jp/chintai/jnc_000074969368/?bc=100287209424
16317,ＬＯＳＰＩＳＯＳ,賃貸マンション,東京都足立区椿２,日暮里・舎人ライナー/西新井大師西駅 歩14分,築26年,5階建,2階,8.5万円,8000円,8.5万円,4.25万円,3DK,58.39m2,https://suumo.jp/chintai/jnc_000079087296/?bc=100309491120
16320,京王線 明大前駅 地下1地上11階建 築52年,賃貸マンション,東京都杉並区永福１,京王線/明大前駅 歩3分,築52年,地下1地上11階建,8階,11.5万円,5000円,-,-,4LDK,55.28m2,https://suumo.jp/chintai/jnc_000069731147/?bc=100304361853
16321,京王線 明大前駅 地下1地上11階建 築52年,賃貸マンション,東京都杉並区永福１,京王線/明大前駅 歩3分,築52年,地下1地上11階建,2階,16.5万円,10000円,16.5万円,16.5万円,1LDK,59.18m2,https://suumo.jp/chintai/jnc_000078568374/?bc=100298076012
16322,京王線 明大前駅 地下1地上11階建 築52年,賃貸マンション,東京都杉並区永福１,京王線/明大前駅 歩3分,築52年,地下1地上11階建,2階,16.5万円,10000円,16.5万円,16.5万円,1LDK,59.18m2,https://suumo.jp/chintai/jnc_000078216760/?bc=100304593577
16323,京王線 明大前駅 地下1地上11階建 築52年,賃貸マンション,東京都杉並区永福１,京王線/明大前駅 歩3分,築52年,地下1地上11階建,2階,17.5万円,10000円,17.5万円,17.5万円,1LDK,59.18m2,https://suumo.jp/chintai/jnc_000076977331/?bc=100298038771
16332,アーバンビュー月島,賃貸マンション,東京都中央区月島１,東京メトロ有楽町線/月島駅 歩3分,築18年,8階建,2階,21万円,20000円,21万円,21万円,2LDK,54.08m2,https://suumo.jp/chintai/jnc_000078519917/?bc=100309607903
16333,アーバンビュー月島,賃貸マンション,東京都中央区月島１,東京メトロ有楽町線/月島駅 歩3分,築18年,8階建,2階,23万円,10000円,23万円,23万円,2LDK,54.08m2,https://suumo.jp/chintai/jnc_000076573638/?bc=100295501950
16338,東京メトロ有楽町線 月島駅 8階建 築18年,賃貸マンション,東京都中央区月島１,東京メトロ有楽町線/月島駅 歩3分,築18年,8階建,2階,21万円,20000円,21万円,21万円,2LDK,54.08m2,https://suumo.jp/chintai/jnc_000078519918/?bc=100309607457
16341,ＪＲ京浜東北線 王子駅 11階建 築2年,賃貸マンション,東京都北区王子２,ＪＲ京浜東北線/王子駅 歩5分,築2年,11階建,10階,19.15万円,10000円,-,-,1SLDK,56.04m2,https://suumo.jp/chintai/jnc_000078327968/?bc=100309241294
16344,都営大江戸線 豊島園駅 地下1地上3階建 新築,賃貸マンション,東京都練馬区早宮３,都営大江戸線/豊島園駅 歩11分,新築,地下1地上3階建,B1階,19.3万円,13000円,-,19.3万円,3LDK,65.8m2,https://suumo.jp/chintai/jnc_000076133335/?bc=100293077416
16345,都営大江戸線 豊島園駅 地下1地上3階建 新築,賃貸マンション,東京都練馬区早宮３,都営大江戸線/豊島園駅 歩11分,新築,地下1地上3階建,B1階,19.6万円,13000円,-,19.6万円,2SLDK,67.01m2,https://suumo.jp/chintai/jnc_000076133337/?bc=100293077429
16346,都営大江戸線 豊島園駅 地下1地上3階建 新築,賃貸マンション,東京都練馬区早宮３,都営大江戸線/豊島園駅 歩11分,新築,地下1地上3階建,1階,19.6万円,13000円,19.6万円,19.6万円,3LDK,65.8m2,https://suumo.jp/chintai/jnc_000076133345/?bc=100293800926
16347,都営大江戸線 豊島園駅 地下1地上3階建 新築,賃貸マンション,東京都練馬区早宮３,都営大江戸線/豊島園駅 歩11分,新築,地下1地上3階建,1階,19.9万円,13000円,-,19.9万円,2SLDK,67.67m2,https://suumo.jp/chintai/jnc_000076133347/?bc=100293118438
16348,都営大江戸線 豊島園駅 地下1地上3階建 新築,賃貸マンション,東京都練馬区早宮３,都営大江戸線/豊島園駅 歩11分,新築,地下1地上3階建,1階,19.9万円,13000円,19.9万円,19.9万円,3LDK,67.01m2,https://suumo.jp/chintai/jnc_000076133346/?bc=100293309160
16349,都営大江戸線 豊島園駅 地下1地上3階建 新築,賃貸マンション,東京都練馬区早宮３,都営大江戸線/豊島園駅 歩11分,新築,地下1地上3階建,3階,20.4万円,13000円,20.4万円,20.4万円,2SLDK,67.67m2,https://suumo.jp/chintai/jnc_000076133357/?bc=100293118480
16350,都営大江戸線 豊島園駅 地下1地上3階建 新築,賃貸マンション,東京都練馬区早宮３,都営大江戸線/豊島園駅 歩11分,新築,地下1地上3階建,B1階,20.6万円,15000円,-,20.6万円,3LDK,72.32m2,https://suumo.jp/chintai/jnc_000076332107/?bc=100293299473
16351,都営大江戸線 豊島園駅 地下1地上3階建 新築,賃貸マンション,東京都練馬区早宮３,都営大江戸線/豊島園駅 歩11分,新築,地下1地上3階建,B1階,21.4万円,15000円,-,21.4万円,3LDK,75.58m2,https://suumo.jp/chintai/jnc_000076133343/?bc=100293316901
16368,グランドール東綾瀬,賃貸マンション,東京都足立区東綾瀬１,東京メトロ千代田線/綾瀬駅 歩12分,築30年,7階建,1階,10.4万円,5000円,10.4万円,-,2LDK,56m2,https://suumo.jp/chintai/jnc_000077734078/?bc=100308176197
16371,都営三田線 板橋区役所前駅 14階建 築15年,賃貸マンション,東京都板橋区氷川町,都営三田線/板橋区役所前駅 歩4分,築15年,14階建,1階,17.3万円,12000円,34.6万円,17.3万円,2LDK,66.34m2,https://suumo.jp/chintai/jnc_000078220235/?bc=100304613674
16372,都営三田線 板橋区役所前駅 14階建 築15年,賃貸マンション,東京都板橋区氷川町,都営三田線/板橋区役所前駅 歩4分,築15年,14階建,1階,17.3万円,12000円,34.6万円,17.3万円,2LDK,66.34m2,https://suumo.jp/chintai/jnc_000079006849/?bc=100309011977
16373,都営三田線 板橋区役所前駅 14階建 築15年,賃貸マンション,東京都板橋区氷川町,都営三田線/板橋区役所前駅 歩4分,築15年,14階建,2階,17.5万円,12000円,35万円,17.5万円,2LDK,66.34m2,https://suumo.jp/chintai/jnc_000078071213/?bc=100304582257
16380,西台ユーティーハイネス,賃貸マンション,東京都板橋区西台２,都営三田線/西台駅 歩12分,築32年,11階建,8階,10.5万円,7000円,10.5万円,10.5万円,3LDK,65m2,https://suumo.jp/chintai/jnc_000078433040/?bc=100283154426
16383,PRESTIGE向島,賃貸マンション,東京都墨田区向島３,東京メトロ半蔵門線/押上駅 歩10分,築33年,4階建,4階,14.2万円,6000円,21.3万円,-,2LDK,64.19m2,https://suumo.jp/chintai/jnc_000077619641/?bc=100298174504
16386,東急大井町線 自由が丘駅 5階建 築19年,賃貸マンション,東京都目黒区自由が丘１,東急大井町線/自由が丘駅 歩9分,築19年,5階建,3階,23万円,10000円,23万円,23万円,2LDK,50.64m2,https://suumo.jp/chintai/jnc_000077414968/?bc=100302336769
16389,タウンハウス大栄,賃貸テラス・タウンハウス,東京都足立区関原２,東武伊勢崎線/西新井駅 歩12分,築32年,2階建,1-2階,10.8万円,-,10.8万円,10.8万円,3DK,59m2,https://suumo.jp/chintai/jnc_000013530435/?bc=100279732742
16392,グランドブルージュ I,賃貸テラス・タウンハウス,東京都葛飾区南水元４,ＪＲ常磐線/金町駅 バス13分 (バス停)水元三丁目 歩2分,築17年,2階建,1階,10.3万円,5000円,-,10.3万円,2LDK,59.56m2,https://suumo.jp/chintai/jnc_000077012394/?bc=100307528317
16393,グランドブルージュ I,賃貸テラス・タウンハウス,東京都葛飾区南水元４,ＪＲ常磐線/金町駅 バス13分 (バス停)水元三丁目 歩2分,築17年,2階建,1階,10.3万円,5000円,-,10.3万円,2LDK,59.56m2,https://suumo.jp/chintai/jnc_000077066627/?bc=100298536986
16394,グランドブルージュ I,賃貸テラス・タウンハウス,東京都葛飾区南水元４,ＪＲ常磐線/金町駅 バス13分 (バス停)水元三丁目 歩2分,築17年,2階建,1階,10.3万円,5000円,-,10.3万円,2LDK,59.56m2,https://suumo.jp/chintai/jnc_000077027001/?bc=100298334668
16401,メゾン・ボヌール,賃貸アパート,東京都板橋区赤塚３,東武東上線/成増駅 歩6分,新築,3階建,2階,13.3万円,2000円,13.3万円,13.3万円,1LDK,63.76m2,https://suumo.jp/chintai/jnc_000076734872/?bc=100296660921
16402,メゾン・ボヌール,賃貸アパート,東京都板橋区赤塚３,東武東上線/成増駅 歩6分,新築,3階建,2階,13.3万円,2000円,13.3万円,13.3万円,1LDK,60.7m2,https://suumo.jp/chintai/jnc_000076734873/?bc=100296660909
16407,エーデル本駒込,賃貸テラス・タウンハウス,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩7分,築40年,2階建,1階,16万円,5000円,32万円,16万円,2LDK,52.29m2,https://suumo.jp/chintai/jnc_000078582932/?bc=100309165699
16410,ＣｅｒｅｓＭ－セレスＭ－,賃貸マンション,東京都台東区台東１,都営大江戸線/新御徒町駅 歩9分,新築,10階建,2階,21.4万円,8000円,21.4万円,-,2LDK,57.07m2,https://suumo.jp/chintai/jnc_000078820655/?bc=100307890484
16411,ＣｅｒｅｓＭ－セレスＭ－,賃貸マンション,東京都台東区台東１,都営大江戸線/新御徒町駅 歩9分,新築,10階建,3階,21.7万円,8000円,21.7万円,-,2LDK,57.07m2,https://suumo.jp/chintai/jnc_000078820656/?bc=100307890486
16412,ＣｅｒｅｓＭ－セレスＭ－,賃貸マンション,東京都台東区台東１,都営大江戸線/新御徒町駅 歩9分,新築,10階建,5階,21.9万円,8000円,21.9万円,-,2LDK,57.07m2,https://suumo.jp/chintai/jnc_000078820658/?bc=100307890478
16413,ＣｅｒｅｓＭ－セレスＭ－,賃貸マンション,東京都台東区台東１,都営大江戸線/新御徒町駅 歩9分,新築,10階建,4階,21.9万円,8000円,21.9万円,-,2LDK,57.07m2,https://suumo.jp/chintai/jnc_000078820657/?bc=100307890474
16414,ＣｅｒｅｓＭ－セレスＭ－,賃貸マンション,東京都台東区台東１,都営大江戸線/新御徒町駅 歩9分,新築,10階建,7階,22.1万円,8000円,22.1万円,-,2LDK,57.07m2,https://suumo.jp/chintai/jnc_000078820660/?bc=100307890469
16415,ＣｅｒｅｓＭ－セレスＭ－,賃貸マンション,東京都台東区台東１,都営大江戸線/新御徒町駅 歩9分,新築,10階建,6階,22.1万円,8000円,22.1万円,-,2LDK,57.07m2,https://suumo.jp/chintai/jnc_000078820659/?bc=100307890463
16416,ＣｅｒｅｓＭ－セレスＭ－,賃貸マンション,東京都台東区台東１,都営大江戸線/新御徒町駅 歩9分,新築,10階建,8階,22.3万円,8000円,22.3万円,-,2LDK,57.07m2,https://suumo.jp/chintai/jnc_000078820661/?bc=100307890489
16417,ＣｅｒｅｓＭ－セレスＭ－,賃貸マンション,東京都台東区台東１,都営大江戸線/新御徒町駅 歩9分,新築,10階建,9階,22.3万円,8000円,22.3万円,-,2LDK,57.07m2,https://suumo.jp/chintai/jnc_000078866731/?bc=100308153403
16418,ＣｅｒｅｓＭ－セレスＭ－,賃貸マンション,東京都台東区台東１,都営大江戸線/新御徒町駅 歩9分,新築,10階建,10階,22.5万円,8000円,22.5万円,-,2LDK,57.07m2,https://suumo.jp/chintai/jnc_000078866730/?bc=100308153406
16437,西葛西戸建,賃貸一戸建て,東京都江戸川区西葛西１,東京メトロ東西線/西葛西駅 歩17分,築24年,3階建,3階,18万円,-,18万円,18万円,5DK,107.23m2,https://suumo.jp/chintai/jnc_000078032573/?bc=100301751720
16439,グリーンホームズ,賃貸マンション,東京都文京区小石川１,都営三田線/春日駅 歩2分,築27年,5階建,4-5階,13万円,10000円,13万円,13万円,1LDK,50m2,https://suumo.jp/chintai/jnc_000079110578/?bc=100302798565
16442,上鷺オークハウス,賃貸マンション,東京都中野区上鷺宮５,西武新宿線/下井草駅 歩9分,築33年,3階建,1階,10万円,3000円,10万円,10万円,2LDK,50.39m2,https://suumo.jp/chintai/jnc_000058699701/?bc=100308701022
16445,メゾン三谷,賃貸マンション,東京都杉並区上井草３,西武新宿線/上井草駅 歩7分,築32年,2階建,2階,13.5万円,-,13.5万円,13.5万円,3LDK,58.41m2,https://suumo.jp/chintai/jnc_000077370906/?bc=100305782453
16448,アイレハイツ,賃貸マンション,東京都北区東十条６,ＪＲ京浜東北線/東十条駅 歩7分,築32年,4階建,4階,9.5万円,3000円,9.5万円,9.5万円,1LDK,51.12m2,https://suumo.jp/chintai/jnc_000046143448/?bc=100294160405
16451,ＪＲ京浜東北線 東十条駅 4階建 築32年,賃貸マンション,東京都北区東十条６,ＪＲ京浜東北線/東十条駅 歩7分,築32年,4階建,4階,9.5万円,3000円,9.5万円,9.5万円,1LDK,51.12m2,https://suumo.jp/chintai/jnc_000046201633/?bc=100306203380
16454,PIT邸,賃貸一戸建て,東京都江戸川区春江町５,都営新宿線/一之江駅 歩17分,築30年,3階建,1-3階,12万円,-,12万円,-,5K,74.52m2,https://suumo.jp/chintai/jnc_000059703231/?bc=100305358475
16455,PIT邸,賃貸一戸建て,東京都江戸川区春江町５,都営新宿線/一之江駅 歩17分,築30年,3階建,2階,12万円,-,12万円,-,5K,74.52m2,https://suumo.jp/chintai/jnc_000078360296/?bc=100305315540
16460,都営新宿線 一之江駅 3階建 築30年,賃貸一戸建て,東京都江戸川区春江町５,都営新宿線/一之江駅 歩16分,築30年,3階建,1-3階,12万円,-,12万円,-,5K,74.52m2,https://suumo.jp/chintai/jnc_000077620019/?bc=100308685344
16463,エコーピア,賃貸マンション,東京都墨田区八広４,京成押上線/八広駅 歩10分,築31年,9階建,4階,11.5万円,-,11.5万円,23万円,2LDK,54.54m2,https://suumo.jp/chintai/jnc_000078599123/?bc=100306802247
16466,東武東上線 上板橋駅 4階建 築36年,賃貸マンション,東京都板橋区上板橋２,東武東上線/上板橋駅 歩3分,築36年,4階建,4階,13万円,10000円,-,-,3LDK,60.33m2,https://suumo.jp/chintai/jnc_000079092373/?bc=100309066756
16469,コーポ吉岡,賃貸アパート,東京都足立区千住河原町,東京メトロ千代田線/北千住駅 歩10分,築43年,2階建,2階,8.8万円,-,8.8万円,8.8万円,2LDK,52.06m2,https://suumo.jp/chintai/jnc_000078270706/?bc=100304872516
16470,コーポ吉岡,賃貸アパート,東京都足立区千住河原町,東京メトロ千代田線/北千住駅 歩10分,築43年,2階建,2階,8.8万円,-,8.8万円,8.8万円,2LDK,52.06m2,https://suumo.jp/chintai/jnc_000074416004/?bc=100299825953
16475,東京メトロ千代田線 北千住駅 2階建 築43年,賃貸アパート,東京都足立区千住河原町,東京メトロ千代田線/北千住駅 歩10分,築43年,2階建,2階,8.8万円,-,8.8万円,8.8万円,2LDK,52.06m2,https://suumo.jp/chintai/jnc_000074490120/?bc=100304869933
16476,東京メトロ千代田線 北千住駅 2階建 築43年,賃貸アパート,東京都足立区千住河原町,東京メトロ千代田線/北千住駅 歩10分,築43年,2階建,2階,8.8万円,-,8.8万円,8.8万円,2LDK,52.06m2,https://suumo.jp/chintai/jnc_000077819679/?bc=100302770092
16481,京成押上線 京成立石駅 8階建 築28年,賃貸マンション,東京都葛飾区立石２,京成押上線/京成立石駅 歩12分,築28年,8階建,5階,12.4万円,9000円,12.4万円,-,2SDK,56.16m2,https://suumo.jp/chintai/jnc_000078071257/?bc=100303852281
